법인등록번호,자산총액,직전사업결산일자,자본금액,자본총액,회사구분,부채총액,소속회사명,기업공개일자,기업설립일,집단편입일,업종코드,업종명,상시종업원수,공개년월,출력순위,대표자명,매출액,결산기일,당기순이익,기업집단명,rcmgCode
1.10E+12,3.04E+13,20210329,67917000000,2.01E+12,금융보험업,2.84E+13,흥국생명보험,,19500120,19731001,K65,보험 및 연금업,667,202105,2608,박춘원,4.56E+12,20201231,35877000000,태광,870153
1.10E+12,8.65E+12,20210319,1.94E+11,1.07E+12,금융보험업,7.58E+12,현대차증권,19900609,19550726,20080502,K66,금융 및 보험관련 서비스업,751,202105,2569,최병철,8.26E+11,20201231,84489000000,현대자동차,860140
1.10E+12,2.37E+11,20210331,31500000000,61805000000,일반회사,1.76E+11,삼환기업,,19460315,20180701,F41,종합 건설업,281,202105,1614,김충식,3.06E+11,20201231,16832000000,SM,500267
1.10E+12,1.97E+12,20210326,53418000000,1.64E+12,일반회사,3.27E+11,삼양홀딩스,19681227,19241001,19241001,M71,전문 서비스업,127,202105,289,"윤재엽,엄태웅",1.94E+11,20201231,74594000000,삼양,320730
1.10E+12,1.18E+12,20210329,2.23E+11,7.95E+11,일반회사,3.84E+11,디비하이텍,19751212,19530428,19950501,C26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2026,202105,167,최창식,9.36E+11,20201231,1.66E+11,DB,350354
1.10E+12,2.75E+11,20210325,6852000000,2.28E+11,일반회사,47306000000,정석기업,,19530713,19740101,L68,부동산업,62,202105,2143,원종승,41024000000,20201231,8794000000,한진,811637
1.10E+12,2.00E+12,20210319,47997000000,1.95E+12,일반회사,55936000000,아모레퍼시픽그룹,19730430,19590306,19590306,K64,금융업,91,202105,444,"서경배, 김승환",52398000000,20201231,-10935000000,아모레퍼시픽,350826
1.10E+12,2.02E+11,20210330,52514000000,1.52E+11,일반회사,50762000000,에이케이아이에스,,19540609,19540609,G46,도매 및 상품 중개업,174,202105,1920,"김재영, 김영근",46774000000,20201231,-25567000000,애경,350796
1.10E+12,3.10E+12,20210326,3.69E+11,1.09E+12,일반회사,2.01E+12,하이트진로,20091019,19241003,20051001,C11,음료 제조업,3167,202105,2406,김인규,2.05E+12,20201231,52120000000,하이트진로,310581
1.10E+12,7.54E+12,20210324,49226000000,3.61E+12,일반회사,3.93E+12,신세계,19850819,19551209,19970416,G47,소매업; 자동차 제외,2755,202105,392,차정호,1.46E+12,20201231,2.14E+11,신세계,620084
1.10E+12,6.74E+11,20210330,66238000000,5.17E+11,일반회사,1.58E+11,에이케이홀딩스,19990811,19701013,19701013,N75,사업 지원 서비스업,29,202105,1925,"이석주,채형석",45515000000,20201231,9426000000,애경,352870
1.10E+12,2.66E+12,20210319,1.05E+11,2.27E+12,일반회사,3.89E+11,효성,19730630,19661103,19661103,K64,금융업,639,202105,1112,김규영,2.95E+11,20201231,-58985000000,효성,320218
1.10E+12,1.17E+12,20210329,68514000000,5.20E+11,일반회사,6.46E+11,코오롱,19750613,19570412,19870401,K64,금융업,69,202105,890,안병덕,54000000000,20201231,26553000000,코오롱,320234
1.10E+12,5.25E+12,20210326,5.89E+11,2.36E+12,일반회사,2.89E+12,동국제강,19880509,19540707,,C24,1차 금속 제조업,2526,202105,1327,"장세욱, 김연극",4.61E+12,20201231,19109000000,동국제강,370070
1.10E+12,6.69E+11,20210329,2.06E+11,2.76E+11,일반회사,3.93E+11,지에스글로벌,19760626,19540731,20090803,G46,도매 및 상품 중개업,249,202105,764,김태형,2.32E+12,20201231,-64728000000,지에스,610283
1.10E+12,4.15E+11,20210319,15000000000,3.69E+11,일반회사,45279000000,삼양통상,19891110,19571012,20050404,C15,"가죽, 가방 및 신발 제조업",275,202105,1606,허남각,1.98E+11,20201231,49954000000,지에스,320510
1.10E+12,1.29E+12,20210323,5659000000,7.63E+11,일반회사,5.25E+11,롯데푸드,19730509,19580110,19870401,C10,식료품 제조업,2091,202105,1472,조경수,1.72E+12,20201231,70479000000,롯데,310026
